s1_duration_sec,s1_amplitude,s1_area,s2_duration_sec,s2_amplitude,s2_area,systole_duration_sec,diastole_duration_sec,label
0.186,0.220065822568508,0.020982501510682,0.191,0.313649994127477,0.025196940815051,0.5725,0.5555,1
0.213,0.499550829231171,0.040705727938192,0.211,0.498712880153647,0.041428919330075,0.662,0.728,1
0.224,0.526629146578678,0.045184693273188,0.1745,0.333910551327588,0.02602587836856,0.6895,0.739,1
0.2355,0.411159532895969,0.034139631295394,0.192,0.439443650660954,0.032335930659014,0.7245,0.986,1
0.1775,0.277621633424944,0.023593001249733,0.2065,0.509491699554994,0.040908742945041,0.775,0.8565,1
0.207,0.333657400001439,0.028012753972794,0.2355,0.284899404879906,0.02607471065693,0.783,0.6675,1
0.23,0.328817227226844,0.029774565098683,0.2165,0.282415321916217,0.028246362969312,0.7635,1.6955,1
0.204,0.494555263209846,0.032709350210065,0.142,0.214291997680389,0.017741859472134,0.127,0.4355,1
0.184,0.203035195091576,0.019709352872638,0.212,0.44041335649222,0.034473742084652,0.846,0.7665,1
0.23,0.494192298741963,0.03481571647642,0.1355,0.216939298786793,0.013834752710292,0.144,0.472,1
0.2235,0.23430894881448,0.024990038927665,0.2355,0.485521008279157,0.041382509226601,0.571,0.581,1
0.226,0.273755098535543,0.030610214181382,0.2355,0.340038071355256,0.030225356214039,1.129,0.938,1
0.2205,0.225983752970713,0.021456796293868,0.195,0.312390010385225,0.023075812986388,0.598,1.2495,1
0.2355,0.260336439702336,0.025256668315101,0.2355,0.284885500990967,0.023100962425565,0.782,0.954,1
0.1915,0.260852428930677,0.023126817922592,0.2075,0.258928771762613,0.023124623904504,0.785,0.689,1
0.2265,0.354980849039313,0.029816978176777,0.159,0.186626134013538,0.013063045206367,0.0875,0.767,1
0.2355,0.260372242983451,0.026280708175602,0.1615,0.210051985720212,0.016494179109574,0.744,0.6385,1
0.2255,0.184329807411097,0.020219823711119,0.197,0.408932064563488,0.031835540246849,0.5295,0.639,1
0.2065,0.348464281042384,0.028824927055159,0.2305,0.285569852154217,0.026854386986502,0.8765,0.687,1
0.204,0.304353404341949,0.023816250273115,0.1105,0.173093695949684,0.010204827602042,0.1615,0.466,1
0.214,0.396543946002478,0.028221584093125,0.2005,0.321859338775984,0.022344316690987,1.668,0.854,1
0.2165,0.266164343018109,0.026754425242917,0.2075,0.308291814848107,0.023897910328258,0.652,0.1585,1
0.2355,0.204350921767095,0.022655188462684,0.202,0.303646663784451,0.023315066675284,0.7355,0.641,1
0.221,0.271020062098074,0.024535713545428,0.211,0.35626450190107,0.027937557473962,0.5235,0.6505,1
0.208,0.392579371384369,0.029283700479052,0.186,0.229812409969449,0.017899742706088,1.085,0.625,1
0.1645,0.391590871335818,0.026664457977098,0.2085,0.34232959515786,0.025464882369506,0.969,0.81,1
0.1735,0.295726074345903,0.021220293722058,0.1275,0.214832554849165,0.01457304528401,0.539,1.124,1
0.2,0.416700790812861,0.029682119419343,0.2355,0.184826211663518,0.018269328207008,0.676,0.773,1
0.216,0.269391004179691,0.021720780527331,0.198,0.181146879488155,0.016605547868974,0.8015,0.685,1
0.202,0.276304869507378,0.022283782378868,0.197,0.32630805064755,0.024371328330416,0.8205,0.531,1
0.2355,0.387918888071268,0.028946510955322,0.227,0.18425235840288,0.017200450067386,0.0295,0.5085,1
0.199,0.288273992098146,0.021496684423088,0.2175,0.334469013142033,0.026092897175819,0.9985,0.788,1
0.206,0.254373952488684,0.020572166055412,0.199,0.295596565784298,0.02179718173833,0.8315,0.742,1
0.197,0.174776576272542,0.018055596367741,0.1805,0.297377654988798,0.021852255510131,2.1315,2.268,1
